Title,Description
Gejala OCD,"Seseorang dengan gangguan mental OCD menunjukkan gejala obsesi, kompulsi, atau bisa juga keduanya. Gejala tersebut bisa sangat memengaruhi aspek kehidupan pengidapnya. Misalnya sekolah, pekerjaan, hingga relasi dengan orang lain. 
Obsesi adalah pikiran yang terjadi berulang kali, dorongan, atau gambaran mental yang bisa memicu munculnya rasa cemas. Sementara itu, kompulsi adalah perilaku yang dilakukan secara berulang. Pengidap kondisi ini akan mendapatkan dorongan untuk melakukan perilaku dalam menanggapi pemikiran obsesif. 
Kompulsi umum termasuk melakukan mencuci tangan berulang kali dan secara berlebihan. Bisa juga melakukan pemesanan atau mengatur suatu hal dengan cara yang khusus dan tepat. Selain itu, pengidap juga dapat memeriksa beberapa hal secara berulang. Misalnya, melakukan pemeriksaan berulang kali untuk memastikan apakah pintu sudah dikunci atau kompor sudah dimatikan. 
Gejala OCD bisa datang dan pergi, mereda seiring berjalannya waktu, atau bahkan menjadi lebih buruk. Pengidap bisa mencegah munculnya gejala dengan menghindari kondisi yang dapat memicu munculnya obsesi. Namun, ada pula yang memilih mengonsumsi minuman beralkohol atau obat penenang untuk mengurangi gejalanya. "
Diagnosis OCD,"Pemeriksaan fisik dilakukan untuk menguatkan diagnosis OCD. Selain itu, pemeriksaan fisik juga dilakukan untuk membantu menghilangkan kemungkinan masalah kesehatan lainnya sekaligus memeriksa potensi komplikasi. Selanjutnya, dokter akan melakukan beberapa pemeriksaan laboratorium penunjang, seperti perhitungan darah lengkap, pemeriksaan fungsi tiroid, dan skrining alkohol serta konsumsi obat.
Namun, langkah awal untuk mendiagnosa gangguan OCD adalah:
Evaluasi psikologis. Psikolog dapat mendiskusikan pikiran, perasaan, gejala, dan pola perilaku pengidap untuk menentukan apakah kamu memiliki obsesi atau perilaku kompulsif yang mengganggu. Diskusi ini mungkin juga dilakukan dengan keluarga atau teman terdekat, tentunya dengan seizin pengidap.
Kriteria diagnostik untuk OCD. Dokter atau psikolog mungkin menggunakan kriteria untuk melakukan diagnosa. Kriteria yang dimaksud merujuk pada Manual Diagnostik dan Statistik Gangguan Mental (DSM-5), yang diterbitkan oleh American Psychiatric Association.
Pemeriksaan fisik. Pemeriksaan ini dilakukan untuk mengeliminasi masalah lain yang dapat menyebabkan gejala pada seseorang. Sehingga dokter dapat memeriksa komplikasi yang hanya berkaitan dengan OCD."
Pengobatan OCD,"Berikut ini beberapa pilihan perawatan untuk mengobati OCD:
1. Psikoterapi
Psikoterapi dengan terapi perilaku kognitif (CBT) dapat membantu mengubah pola pikir orang dengan OCD. Dokter akan menempatkan pengidap dalam situasi yang dirancang untuk menciptakan atau memicu kompulsi. Sementara itu, kamu akan belajar untuk mengurangi dan kemudian menghentikan pikiran atau tindakan OCD.
2. Relaksasi
Teknik relaksasi dapat dilakukan dengan hal-hal sederhana, seperti meditasi, yoga, dan pijat. Cara ini dapat membantu pengidap mengatasi gejala OCD yang disertai stres.
3. Pengobatan
Dokter juga dapat meresepkan obat psikiatrik yang disebut inhibitor reuptake serotonin selektif. Obat ini dapat membantu pengidap mengendalikan obsesi dan kompulsi. Namun, diperlukan waktu dua hingga empat bulan untuk obat ini mulai bekerja. 
Obat psikiatrik yang umum diresepkan yaitu, citalopram, clomipramine, escitalopram, fluoxetine, fluvoxamine, paroxetine, dan sertraline. Jika gejala masih ada, dokter mungkin akan meresepkan obat antipsikotik seperti aripiprazole atau risperidone.
4. Neuromodulasi
Dalam kasus yang jarang terjadi, ketika terapi dan pengobatan tidak menunjukkan perbaikan, dokter mungkin akan mendiskusikan perawatan neuromodulasi pada pengidap. Pengobatan ini dilakukan dengan perangkat yang dapat mengubah aktivitas listrik di area tertentu di otak.
Alat stimulasi magnetik transkranial ini menggunakan medan magnet untuk merangsang sel-sel saraf. Prosedur yang lebih rumit ketika harus menstimulasi otak dalam, yaitu menggunakan elektroda yang ditanamkan di kepala. 
5. Stimulasi magnetik transkranial
Pengobatan ini dilakukan dengan perangkat non-invasif yang dipegang di atas kepala. Alat tersebut bekerja untuk menginduksi medan magnet dan menargetkan bagian otak tertentu yang mengatur gejala OCD."
Komplikasi OCD,"OCD yang tidak mendapatkan penanganan bisa berujung munculnya berbagai komplikasi yang berkaitan dengan masalah kesehatan mental pengidapnya. Seperti, stres, depresi, dan gangguan kecemasan. 
Selain itu, beberapa komplikasi yang dapat terjadi termasuk:
Kehabisan waktu karena tersita untuk melakukan kegiatan ritualistik.
Masalah kesehatan, seperti dermatitis kontak karena sering mencuci tangan.
Kesulitan untuk bekerja, sekolah, atau melakukan kegiatan sosial.
Mengalami masalah dalam hubungan.
Memiliki kualitas hidup yang buruk.
Memiliki pikiran dan perilaku bunuh diri."
Definisi ADHD,"Attention Deficit Hyperactivity Disorder atau ADHD adalah istilah medis untuk gangguan mental berupa perilaku impulsif dan hiperaktif. Gejala ADHD membuat anak-anak kesulitan untuk memusatkan perhatian pada satu hal dalam satu waktu. 
Meski lebih rentan terjadi pada anak, gejala yang muncul bisa bertahan hingga usia remaja bahkan dewasa. ADHD terbagi menjadi 3 subtipe, yaitu:
Dominan hiperaktif-impulsif. Tipe ini biasanya muncul dengan masalah hiperaktivitas bersamaan dengan perilaku impulsif.  
Dominan inatentif. Tipe ini memiliki ciri sulit untuk menaruh perhatian penuh pada satu hal dalam satu waktu. Anak-anak dengan kondisi ini cenderung tidak bisa memperhatikan dengan baik. 
Kombinasi hiperaktif-impulsif dan inatentif. Jenis ini menunjukkan ciri hiperaktif, impulsif, dan tidak dapat memperhatikan dengan baik."
Penyebab ADHD,"Para ahli masih belum mengetahui apa yang menjadi penyebab ADHD secara pasti sampai saat ini.
Namun, masalah kesehatan mental ini bisa muncul karena ketidakseimbangan senyawa kimia (neurotransmitter) dalam otak.
Ahli menduga, beberapa kondisi berikut ini bisa memicu terjadinya kondisi ini pada anak: 
1. Genetika
Sampai saat ini, genetik menjadi satu-satunya penyebab utama terjadinya ADHD. Selain itu, kondisi ini cenderung menurun dalam keluarga.
Dalam banyak kasus, para ahli menduga bahwa gen dari salah satu atau kedua orang tua merupakan faktor penting dalam berkembangnya kelainan ini. 
2. Fungsi dan struktur otak
Studi telah mengidentifikasi beberapa kemungkinan perbedaan dalam otak seseorang dengan berkembangnya ADHD dari mereka yang tidak memiliki kondisi tersebut. Penelitian tersebut menggunakan pemindaian otak.
Hasilnya, area otak tertentu mungkin lebih kecil ukurannya pada seseorang dengan ADHD, sedangkan area lainnya bisa jadi lebih besar. 
Studi lain juga menunjukkan bahwa seseorang dengan kondisi ini mungkin memiliki ketidakseimbangan dalam tingkat neurotransmitter pada otak.
Selain itu, dugaan lain menyatakan bahwa bahan kimia pada otak tersebut bisa jadi tidak berfungsi dengan baik.
3. Paparan neurotoksin selama kehamilan
Selain itu, para ahli juga menduga bahwa ada hubungan antara ADHD dengan bahan kimia neurotoksin tertentu, seperti timbal dan beberapa jenis pestisida.
Paparan timbal pada anak dapat memengaruhi tingkat pendidikan mereka. Hal tersebut berkaitan dengan kurangnya perhatian, hiperaktif, dan impulsif.
Sementara itu, paparan pestisida organofosfat juga berkaitan dengan kelainan mental tersebut. Ini adalah bahan kimia yang banyak digunakan pada rumput dan produk pertanian.
Studi menyebutkan, bahan kimia organofosfat berpotensi memberikan efek negatif pada perkembangan saraf anak. 
4. Merokok dan mengonsumsi alkohol selama kehamilan
Menjadi perokok aktif atau pasif selama kehamilan juga berkaitan dengan perilaku anak dengan kondisi ADHD.
Selain itu, anak yang terpapar alkohol serta obat-obatan ketika masih berupa janin dalam kandungan juga lebih mungkin mengalami kondisi serupa."
Faktor Risiko ADHD,"Setiap anak bisa mengalami gangguan kesehatan mental ini. Namun, ada beberapa faktor risiko ADHD yang perlu diperhatikan:
1. Faktor genetik
Faktor genetik memiliki peran penting dalam perkembangan kondisi ini. Jika ada riwayat ADHD dalam keluarga, risiko untuk mengembangkan gangguan ini cenderung lebih tinggi.
2. Gangguan selama kehamilan
Faktor selama masa kehamilan, seperti paparan zat beracun, penggunaan alkohol atau obat-obatan terlarang, dan stres berlebihan pada ibu hamil, dapat meningkatkan risiko ADHD pada anak.
3. Kelahiran prematur atau BBLR
Anak yang lahir prematur atau dengan berat badan lahir rendah (BBLR) memiliki risiko lebih tinggi terhadap perkembangan ADHD.
4. Trauma kepala dan paparan timbal
Cedera kepala yang signifikan pada usia dini dapat menjadi faktor risiko bagi perkembangan ADHD.
Paparan tinggi terhadap timbal pada anak-anak juga dapat berkontribusi terhadap pengembangan ADHD.
5. Gangguan neurologis
Anak dengan riwayat gangguan neurologis atau kesehatan mental lainnya, seperti gangguan bipolar atau gangguan spektrum autisme, dapat memiliki risiko lebih tinggi mengembangkan ADHD.
6. Faktor lingkungan
Lingkungan yang tidak mendukung, stres keluarga, paparan zat-zat kimia beracun, dan kurangnya dukungan sosial dapat meningkatkan risiko ADHD.
Beberapa penelitian juga menunjukkan adanya hubungan antara polusi udara dan peningkatan risiko ADHD pada anak-anak.
7. Kurang gizi dan istirahat
Gizi yang tidak mencukupi atau defisiensi gizi tertentu selama masa pertumbuhan dan perkembangan anak dapat memengaruhi fungsi otak dan mempengaruhi risiko ADHD.
Kurang tidur atau gangguan tidur pada anak juga dapat memengaruhi konsentrasi dan perilaku, yang berkaitan dengan gejala ADHD."
Gejala ADHD,"ADHD merupakan gangguan perkembangan saraf yang kompleks yang dapat memengaruhi kemampuan fungsi tubuh pengidapnya dalam banyak aspek kehidupan. Seperti ketika sedang sekolah, bekerja, dan bahkan pada lingkungan rumah.
Lalu, apa yang dirasakan pengidap ADHD? Gejala ADHD pada anak, remaja, dan orang dewasa bisa berbeda.
Bahkan terkadang sulit untuk mengenali gejalanya. Dokter umumnya baru dapat mendiagnosa ADHD pada anak atau ketika usia remaja, dengan usia rata-rata 7 tahun. 
Sementara itu, orang dewasa dengan kondisi ini mungkin telah menunjukkan gejala sejak usia anak atau remaja.
Hanya, orang tua kerap mengabaikan gejala yang muncul. Hal inilah yang selanjutnya menyebabkan diagnosa kerap terlambat. 
1. Gejala ADHD pada anak
Gejala utama dari gangguan kesehatan ini yaitu kurangnya perhatian, tindakan hiperaktif-impulsif, atau gabungan keduanya. Lantas, Apa ciri-ciri anak ADHD? 
Kesulitan untuk memperhatikan dan tetap teratur.
Memiliki kegelisahan yang berlebihan.
Mempunyai masalah dengan pengendalian diri atau perilaku impulsif. 
Sementara itu, orang tua bisa dengan mudah mengenali gejala ADHD pada anak dengan memperhatikan beberapa hal ini. 
Anak sulit berfokus pada aktivitas dan menjadi mudah terganggu.
Rentang perhatian yang rendah saat bermain atau mengerjakan tugas sekolah.
Anak menjadi gelisah dan kesulitan duduk diam.
Selalu membutuhkan gerakan atau sering berlarian.
Berbicara berlebihan dan menyela orang lain.
2. Gejala ADHD pada remaja
Seiring bertambahnya usia, anak dengan gangguan ini akan menunjukkan perubahan gejala.
Dalam beberapa kasus, gejala tertentu yang terlihat ketika masa kanak-kanak mungkin berkurang seiring anak beranjak remaja.
Namun, gejala baru dapat saja muncul seiring dengan perubahan tanggung jawab dan bertambahnya usia pada anak.
Remaja dengan masalah ini biasanya menunjukkan beberapa gejala berikut:
Kesulitan fokus pada tugas sekolah atau pekerjaan lain.
Sering melakukan kesalahan saat melakukan tugas atau pekerjaan.
Mengalami kesulitan dalam menyelesaikan tugas, terutama tugas sekolah atau pekerjaan rumah.
Memiliki masalah dengan organisasi dan manajemen waktu.
Sering melupakan barang atau kehilangan barang pribadi.
Kerap menghindari tugas atau pekerjaan yang melelahkan secara mental.
Kesulitan menavigasi hubungan sosial dan keluarga.
Mengalami peningkatan frustasi dan kepekaan emosional.
Meski ADHD dapat membuat remaja terlihat “tidak dewasa”, gejala yang muncul sebenarnya hanyalah bagian dari ADHD alias tidak ada hubungannya dengan tingkat kedewasaan anak.
3. Gejala ADHD pada usia dewasa
Kebanyakan orang dengan ADHD menerima diagnosa selama masa kanak-kanak. Namun, orang tua kerap mengabaikan atau menyalahartikan gejala yang muncul. 
Selama gejala ADHD muncul pada seseorang sebelum usianya 12 tahun, ini artinya mereka masih dapat menerima diagnosa pada masa dewasa.
Pada orang dewasa, gejala ADHD bisa terlihat berbeda daripada gejala yang muncul pada masa kanak-kanak atau remaja.
Hal ini bisa terjadi karena adanya perbedaan tanggung jawab saat dewasa. Gejala ADHD pada orang dewasa dapat berupa:
Kesulitan menyelesaikan tugas atau pekerjaan.
Memiliki masalah harga diri dan kesejahteraan mental secara keseluruhan.
Melakukan penyalahgunaan zat, terutama alkohol.
Mengalami kesulitan dalam hubungan dengan pasangan, keluarga, atau rekan kerja.
Sering mengalami kecelakaan atau cedera."
Diagnosis Gejala ADHD,"Anak yang mengalami kesulitan konsentrasi dan menunjukkan kondisi hiperaktif tidak selalu mengidap ADHD, ini juga berlaku pada remaja.
Memang benar, orang tua mungkin melihat remaja kerap tidak mendengar pembicaraan, menunjukkan tingkah laku impulsif, dan mudah teralihkan dengan distraksi. 
Namun, bukan berarti mereka mengalami ADHD. Oleh karena kondisi ini sering tidak terdiagnosis pada usia anak, penting untuk orang tua mengetahui apa saja gejala dan mengenali apa saja bedanya dengan perilaku anak yang normal. 
Guna mendapatkan diagnosis yang akurat, perlu kerja sama dari banyak pihak. 
Mulanya, dokter anak bersama dengan psikiater akan memeriksa kondisi fisik dan mental anak, keluarga, dan tenaga pengajar yang berinteraksi dengan anak.
Adanya pemeriksaan ini sebenarnya memiliki beberapa tujuan untuk: 
Mendapatkan diagnosis yang tepat, apakah anak memang mengidap ADHD.
Mengetahui seberapa parah kondisi ini.
Mengetahui ada atau tidaknya kondisi medis lain yang menunjukkan gejala yang sama.
Mendeteksi apakah anak mengalami masalah kesehatan mental lain. 
Guna membantu menegakkan diagnosis, dokter mungkin merekomendasikan beberapa pemeriksaan tambahan.
Pemeriksaan ini termasuk tes fungsi hati, tes darah, MRI pada otak, dan tes tiroid"
Cara Mengobati ADHD,"Sayangnya, anak dengan kondisi ADHD tidak bisa sembuh sepenuhnya.
Meski begitu, gabungan antara obat dan terapi bisa membantu mengurangi gejala yang muncul, sehingga pengidapnya tetap bisa beraktivitas dengan normal.
Adapun pengobatan ADHD yang bisa ditempuh:
1. Obat
Dokter akan meresepkan obat methylphenidate yang memang umum untuk mengatasi ADHD.
Obat satu ini bekerja dengan membuat kadar senyawa kimia pada otak menjadi lebih seimbang. Dengan demikian, gejala yang muncul bisa berkurang.
Obat methylphenidate terbilang aman untuk anak, tetapi dokter tetap memantau kondisi anak untuk tindakan antisipasi akan efek samping yang mungkin terjadi. Misalnya, kelainan pada organ jantung. 
Jika nantinya anak mengalami efek samping atau ada risiko tinggi untuk mengalami hal tersebut, maka dokter bisa meresepkan jenis obat lainnya, yaitu obat amitriptyline, atomoxetine, dan obat yang masuk dalam kelompok agonis alfa, seperti clonidine.
2. Psikoterapi
Metode pengobatan lainnya adalah psikoterapi. Tidak hanya mengobati kondisi ini, terapi juga bermanfaat untuk mengobati masalah kejiwaan lain yang bisa muncul dengan ADHD, misalnya depresi
 Jenis terapi yang bisa menjadi pertimbangan, yaitu: 
3. Cognitive behavioural therapy (CBT) atau terapi perilaku kognitif
Terapi perilaku kognitif memiliki tujuan utama untuk membantu pengidap sehingga dapat mengubah perilaku dan pola pikir mereka ketika sedang berada pada kondisi atau permasalahan tertentu. 
4. Terapi psikoedukasi
Selanjutnya, terapi psikoedukasi. Ketika menjalani terapi ini, psikiater akan mengajak pengidap untuk bercerita. Misalnya, kesulitan pengidap dalam menghadapi kondisi tersebut.
Melalui terapi ini, psikiater berharap pengidap bisa mendapatkan cara terbaik untuk mengatasi gejala yang muncul.
5. Terapi interaksi sosial
Kemudian, terapi interaksi sosial yang bisa membantu pengidap untuk mengetahui perilaku sosial yang pas untuk suatu kondisi. 
Orang tua, pengasuh, keluarga, dan guru tentu memerlukan arahan sehingga bisa memberikan pendampingan pada pengidap.
Inilah sebabnya, orang-orang yang terlibat dengan pengidap juga perlu memperoleh pelatihan khusus.
Biasanya, pelatihan akan memberikan beberapa materi berikut:
Cara tepat memberikan pujian sebagai bentuk dukungan untuk anak.
Solusi ketika anak menunjukkan perilaku buruk.
Memberikan arahan kegiatan anak yang sesuai dengan kapabilitasnya. 
Sementara itu, guna membantu anak mengontrol gejala yang muncul, orang tua juga bisa secara perlahan disiplin membiasakan pola hidup sehat, dengan cara:
Menerapkan pola makan sehat dengan asupan gizi seimbang.
Memastikan bahwa anak mendapatkan tidur yang cukup. Melalui artikel Inilah Hubungan Pola Tidur dengan ADHD, orang tua bisa mengetahui mengapa anak perlu mendapat cukup istirahat.
Batasi waktu menonton tivi, main game, dan berinteraksi dengan gawai.
Ajak anak untuk melakukan aktivitas fisik setidaknya selama 60 menit setiap hari.
Meski tidak bisa sembuh, diagnosis yang akurat dan pengobatan yang pas sesegera mungkin bisa membantu pengidap bisa beradaptasi dengan keadaan dirinya dan melakukan aktivitas seperti biasanya.
Namun, orang tua juga perlu memahami bahwa pengobatan ADHD perlu adanya komitmen dan persiapan yang matang dari banyak aspek. Mulai dari finansial, waktu, hingga emosi. "
Komplikasi ADHD,"ADHD yang tidak segera mendapat penanganan dapat mempersulit kehidupan anak dan remaja. Mereka bisa mengalami beberapa kondisi berikut:
Anak sering kesulitan berada dalam kelas, sehingga menyebabkan kegagalan akademik serta penilaian oleh anak lain dan orang dewasa.
Cenderung mengalami lebih banyak kecelakaan atau cedera daripada anak-anak yang tidak mengalaminya.
Memiliki harga diri yang buruk.
Mengalami kesulitan berinteraksi dan penerimaan dalam pertemanan sebaya dan orang dewasa.
Berada pada peningkatan risiko penyalahgunaan alkohol dan obat-obatan serta perilaku nakal lainnya. 
Tidak hanya itu, kondisi ADHD juga bisa membuat kehidupan orang dewasa menjadi lebih sulit, seperti:
Prestasi akademik dan karir yang buruk.
Menjadi pengangguran.
Mengalami masalah dengan keuangan.
Kerap bermasalah dengan hukum.
Kecanduan alkohol dan penyalahgunaan zat lainnya.
Sering mengalami kecelakaan kendaraan dan lainnya.
Hubungan yang tidak stabil, baik dengan pasangan, teman, dan keluarga.
Kesehatan fisik dan mental yang buruk.
Citra diri yang buruk.
Memiliki upaya bunuh diri."
Pencegahan ADHD,"Sayangnya, tidak ada pencegahan spesifik yang bisa dilakukan terhadap kondisi ADHD.
Namun, risiko gangguan mental ini bisa orang tua kurangi, Mulailah sedini mungkin dari masa kehamilan.
Ibu hamil sebaiknya tidak merokok, tidak mengonsumsi minuman beralkohol dan obat-obatan terlarang, sera sebisa mungkin menjauhkan anak dari asap rokok serta paparan zat beracun yang bisa membahayakan kesehatan.
Cara lainnya, yaitu: 
Konsumsi makanan bergizi dan seimbang yang dapat berpengaruh pada perkembangan otak dan fungsi kognitif. Hindari makanan tinggi gula dan junk food serta pastikan untuk menyertakan buah-buahan, sayuran, biji-bijian, dan protein sehat dalam makanan sehari-hari.
Meski sedang hamil, ibu tetap perlu bergerak aktif. Olahraga ringan terbukti bisa mencegah komplikasi selama kehamilan.
Kurangi stres dengan cara melakukan hobi, berolahraga ringan atau berlatih teknik relaksasi."
Definisi Agoraphobia,"Agoraphobia atau agorafobia merupakan salah satu jenis gangguan cemas. Gangguan ini menimbulkan perasaan ketakutan dan khawatir yang berlebih ketika berada di tempat yang membuat pengidapnya merasa sulit untuk pergi atau merasa tidak dapat meminta pertolongan dari siapapun. 
Biasanya pengidap agoraphobia akan merasa panik dan cemas saat berada dalam perjalanan, di transportasi umum, di tempat tertutup (seperti mengunjungi pusat perbelanjaan dan bioskop), tempat terbuka (misalnya, jembatan dan area parkir yang luas), di tempat keramaian, berada pada antrean, atau meninggalkan rumah sendirian.
Dengan alasan ini, pengidap biasanya menghindari berada pada tempat atau kondisi tersebut dan sering kali menjadi alasan yang menghambat kehidupan sosial dan pekerjaan. "
Penyebab Agoraphobia,"Penyebab pasti dari agoraphobia hingga kini belum ada yang tahu secara pasti. Namun, para ahli menduga ini terkait dengan adanya riwayat gangguan panik, gangguan cemas yang disertai panik, dan berada pada situasi tertentu yang dapat memicu ketakutan yang berlebih.
Gangguan panik sendiri kemungkinan terkait dengan riwayat dalam keluarga dan adanya kejadian traumatik atau stressor sebelumnya. "
Faktor Risiko Agoraphobia,"Berikut adalah beberapa faktor yang berisiko sebabkan agoraphobia:
Wanita lebih sering mengidap agoraphobia dibandingkan laki-laki.
Berada pada rentang usia 25-30 tahun.
Memiliki riwayat gangguan psikiatrik lainnya, seperti gangguan panik, gangguan kecemasan sosial, fobia lainnya, gangguan kecemasan umum, dan gangguan penggunaan zat.
Menanggapi serangan panik dengan terlalu banyak ketakutan dan penghindaran.
Mengalami peristiwa kehidupan yang penuh tekanan, seperti pelecehan, kematian orang tua, atau penyerangan.
Memiliki kepribadian cemas atau gugup.
Memiliki kerabat sedarah dengan agoraphobia."
Gejala Agoraphobia,"Gejala yang terjadi pada pengidap agoraphobia antara lain:
Detak jantung yang cepat.
Napas yang cepat.
Merasa panas dan berkeringat atau merasa dingin.
Merasa sakit (tidak enak badan).
Mual atau diare.
Nyeri dada.
Gangguan menelan.
Takut akan mati.
Namun secara luas, gejala agoraphobia terklasifikasi menjadi 3 jenis:
1. Gejala fisik
Gejala fisik agoraphobia biasanya hanya terjadi saat pengidap berada dalam situasi atau lingkungan yang menyebabkan kecemasan. Namun, banyak pengidap agoraphobia yang jarang mengalami gejala fisik karena secara menghindari situasi yang membuatnya cemas.
Sebenarnya, gejala fisik agoraphobia mirip dengan serangan panik, yaitu berupa:
Detak jantung cepat.
Pernapasan cepat (hiperventilasi).
Merasa panas dan berkeringat.
Merasa sakit.
Nyeri dada.
Kesulitan menelan.
Diare.
Gemetaran.
Pusing.
Telinga berdenging (tinnitus).
Merasa lemah.
2. Gejala kognitif
Sementara itu gejala kognitif agoraphobia yaitu perasaan atau pikiran yang didapat, tapi tidak selalu terkait dengan gejala fisik. Gejala kognitif agoraphobia mungkin termasuk ketakutan bahwa:
Serangan panik akan membuat kamu terlihat bodoh atau merasa malu di depan orang lain.
Serangan panik akan mengancam jiwa, misalnya, mungkin kamu khawatir jantung akan berhenti atau tidak dapat bernapas.
Kamu tidak akan bisa melarikan diri dari suatu tempat atau situasi jika mengalami serangan panik.
Takut kehilangan kewarasan.
Merasa takut kehilangan kendali di depan umum.
Kamu mungkin gemetar atau tersipu di depan orang.
Takut orang mungkin menatap kamu.
Selain itu, ada juga gejala psikologis yang tidak berhubungan dengan serangan panik, seperti:
Merasa tidak akan bisa berfungsi atau bertahan hidup tanpa bantuan orang lain.
Rasa takut ditinggal sendirian di rumah.
Perasaan umum kecemasan atau ketakutan.
3. Gejala perilaku
Gejala agoraphobia yang berkaitan dengan perilaku meliputi:
Menghindari situasi yang dapat menyebabkan serangan panik, seperti tempat keramaian, angkutan umum, dan antrean.
Berada di rumah, tidak bisa meninggalkan rumah untuk waktu yang lama.
Perlu bersama seseorang yang kamu percayai saat pergi ke mana pun.
Menghindari jauh dari rumah.
Beberapa orang mampu memaksakan diri untuk menghadapi situasi yang tidak nyaman, tapi merasa sangat takut dan cemas saat melakukannya. "
Diagnosis Agoraphobia,"Diagnosis agoraphobia harus psikiater lakukan. Dokter akan bertanya seputar keluhan yang terjadi, seberapa sering keluhan tersebut terjadi, dan pada situasi apa.
Sering kali pengidap sulit untuk mengungkapkan perasaannya, sehingga biasanya perlu beberapa kali pertemuan untuk dapat menegakkan diagnosis agoraphobia. 
Diagnosis agoraphobia dilakukan berdasarkan kriteria diagnostik psikiatri DSM-5. Pada DSM-5, kriteria diagnostik untuk agoraphobia, yaitu ketakutan berlebih atau kecemasan yang dipicu oleh paparan yang pasti atau dapat diprediksi pada 2 atau lebih situasi berikut:
Menggunakan transportasi publik.
Berada di area terbuka.
Berada di area tertutup.
Berdiri dalam antrian atau keramaian.
Keluar sendirian dari rumah.
Pengidap menghindari situasi di atas karena yakin akan merasa terjebak atau tidak dapat meminta bantuan ketika dia mengalami serangan panik.
Situasi-situasi di atas selalu menyebabkan panik atau cemas.
Situasi-situasi di atas dihindari, membutuhkan pertolongan dari orang terdekat, ataupun akan mengidap ketakutan yang sangat kuat.
Memiliki ketakutan yang dialami lebih besar dari kemungkinan bahwa bahaya akan terjadi.
Ketakutan yang dialami atau upaya menghindari (avoidance) terjadi terus-menerus, berlangsung selama 6 bulan atau lebih. Selain itu, ketakutan yang dialami atau upaya menghindari (avoidance) menyebabkan penderitaan yang signifikan.
Jika ada kondisi medis lain terjadi (selain gangguan ini), maka ketakutan atau upaya menghindari (avoidance) akan semakin berlebih.
Ketakutan yang dialami atau upaya menghindari (avoidance) tidak dapat dijelaskan oleh gangguan medis lain."
Pengobatan Agoraphobia,"Pengobatan agoraphobia biasanya melibatkan kombinasi metode pengobatan:
1. Psikoterapi
Seorang terapis psikologi dapat membantu mengatasi ketakutan, dengan menggunakan terapi perilaku kognitif (CBT). Profesional kesehatan mental atau psikolog dapat membantu mengenali pikiran yang membuat kamu cemas. Kemudian, kamu akan belajar cara bereaksi secara lebih produktif.
Dengan menggunakan teknik relaksasi dan desensitisasi, psikolog mungkin membuat kamu membayangkan situasi yang menakutkan dan mengelola perasaannya.
Pada akhirnya, kamu akan dapat terlibat dalam aktivitas yang menimbulkan kecemasan, dan akan mengetahui cara mengelola emosi. Seiring waktu, terapi dapat melatih otak untuk berpikir dan merespons secara berbeda.
2. Obat-obatan
Dokter atau psikolog mungkin juga menyarankan penggunaan obat yang disebut inhibitor reuptake serotonin selektif (SSRI), atau inhibitor serotonin norepinefrin (SNRI). Obat-obatan tersebut dapat mengobati depresi dan gangguan kecemasan.
3. Perubahan gaya hidup
Perubahan gaya hidup berikut ini juga dapat membantumu mengatasi agoraphobia:
Menghindari penggunaan alkohol, kafein, dan zat lainnya.
Mengonsumsi makanan yang sehat dan seimbang.
Berolahraga secara teratur.
Melakukan latihan pernapasan."
Pencegahan Agoraphobia,"Hingga saat ini belum ada cara pasti untuk mencegah agoraphobia. Namun, kecemasan cenderung meningkat semakin kamu menghindari situasi yang ditakuti.
Jika kamu mulai memiliki sedikit ketakutan untuk pergi ke tempat yang aman, cobalah untuk berlatih pergi ke tempat tersebut berulang kali. Cara ini dapat membantumu merasa lebih nyaman di tempat-tempat tersebut.
Jika hal tersebut sulit untuk dilakukan, mintalah anggota keluarga atau teman untuk menemani, atau cari bantuan profesional. Sementara itu, jika kamu mengalami gangguan kecemasan atau mengalami serangan panik, dapatkan pengobatan sesegera mungkin untuk mencegah gejala menjadi lebih buruk."
Komplikasi Agoraphobia,"Agoraphobia dapat sangat membatasi aktivitas hidupmu. Jika kondisi agoraphobia yang kamu alami cukup parah, kamu mungkin tidak dapat meninggalkan rumah. Tanpa perawatan, beberapa orang tinggal di rumah selama bertahun-tahun.
Jika ini terjadi, kamu mungkin tidak dapat mengunjungi keluarga dan teman, pergi ke sekolah atau bekerja, mengerjakan tugas, atau berpartisipasi dalam aktivitas rutin harian lainnya. Lebih parahnya lagi, kamu mungkin jadi bergantung pada orang lain untuk mendapatkan bantuan.
Selain itu. agoraphobia juga dapat menyebabkan:
Depresi.
Penyalahgunaan alkohol atau narkoba.
Memiliki pikiran dan upaya bunuh diri."
